kod_nadzsj_d,Zaměstnaní celkem,Zaměstnaní - Zaměstnanci v ozbrojených silách,Zaměstnaní - Zákonodárci a řídící pracovníci,Zaměstnaní - Specialisté,Zaměstnaní - Techničtí a odborní pracovníci,Zaměstnaní - Úředníci,Zaměstnaní - Pracovníci ve službách a prodeji,"Zaměstnaní - Kvalifikovaní pracovníci v zemědělství,lesnictví a rybářství",Zaměstnaní - Řemeslníci a opraváři,"Zaměstnaní - Obsluha strojů a zařízení, montéři",Zaměstnaní - Pomocní a nekvalifikovaní pracovníci,Zaměstnaní - nezjištěno,Zaměstnaní muži,Zaměstnaní - Zaměstnanci v ozbrojených silách - muži,Zaměstnaní - Zákonodárci a řídící pracovníci - muži,Zaměstnaní - Specialisté - muži,Zaměstnaní - Techničtí a odborní pracovníci - muži,Zaměstnaní - Úředníci - muži,Zaměstnaní - Pracovníci ve službách a prodeji - muži,"Zaměstnaní - Kvalifikovaní pracovníci v zemědělství,lesnictví a rybářství - muži",Zaměstnaní - Řemeslníci a opraváři - muži,"Zaměstnaní - Obsluha strojů a zařízení, montéři - muži",Zaměstnaní - Pomocní a nekvalifikovaní pracovníci - muži,Zaměstnaní - nezjištěno - muži,Zaměstnaní ženy,Zaměstnaní - Zaměstnanci v ozbrojených silách - ženy,Zaměstnaní - Zákonodárci a řídící pracovníci - ženy,Zaměstnaní - Specialisté - ženy,Zaměstnaní - Techničtí a odborní pracovníci - ženy,Zaměstnaní - Úředníci - ženy,Zaměstnaní - Pracovníci ve službách a prodeji - ženy,"Zaměstnaní - Kvalifikovaní pracovníci v zemědělství,lesnictví a rybářství - ženy",Zaměstnaní - Řemeslníci a opraváři - ženy,"Zaměstnaní - Obsluha strojů a zařízení, montéři - ženy",Zaměstnaní - Pomocní a nekvalifikovaní pracovníci - ženy,Zaměstnaní - nezjištěno - ženy
53364502,19,0,0,0,2,0,2,0,9,4,1,1,11,0,0,0,1,0,1,0,6,2,0,1,8,0,0,0,1,0,1,0,3,2,1,0
53365301,233,0,19,39,34,16,33,5,27,23,12,25,135,0,11,18,16,7,12,3,26,18,5,19,98,0,8,21,18,9,21,2,1,5,7,6
53365302,26,0,2,6,4,3,3,0,5,2,1,0,14,0,1,3,3,1,2,0,3,0,1,0,12,0,1,3,1,2,1,0,2,2,0,0
53365303,14,0,0,2,4,1,3,0,3,0,1,0,9,0,0,1,3,0,1,0,3,0,1,0,5,0,0,1,1,1,2,0,0,0,0,0
53366101,47,0,2,5,10,3,9,1,5,2,0,10,25,0,2,2,6,1,2,0,5,2,0,5,22,0,0,3,4,2,7,1,0,0,0,5
53366102,261,2,13,66,42,9,30,2,27,25,9,36,143,1,6,30,17,4,9,2,25,19,7,23,118,1,7,36,25,5,21,0,2,6,2,13
53367001,616,3,48,127,134,46,70,8,44,53,18,65,325,2,35,58,56,11,29,6,42,40,10,36,291,1,13,69,78,35,41,2,2,13,8,29
53368801,21,0,0,5,1,0,3,0,0,3,1,8,10,0,0,1,1,0,0,0,0,3,1,4,11,0,0,4,0,0,3,0,0,0,0,4
53368802,165,0,6,16,24,8,23,5,33,24,8,18,92,0,5,10,11,1,7,3,28,12,4,11,73,0,1,6,13,7,16,2,5,12,4,7
53369601,99,0,6,7,24,5,6,2,18,17,5,9,55,0,5,2,11,3,0,1,12,15,2,4,44,0,1,5,13,2,6,1,6,2,3,5
53370001,457,4,25,56,75,38,45,1,71,72,20,50,265,4,13,24,51,15,17,0,60,43,8,30,192,0,12,32,24,23,28,1,11,29,12,20
53370002,319,2,12,56,69,16,29,0,50,46,13,26,173,2,9,26,30,3,10,0,44,31,5,13,146,0,3,30,39,13,19,0,6,15,8,13
53371801,43,0,2,9,5,2,8,0,5,4,3,5,28,0,1,6,4,0,3,0,5,3,3,3,15,0,1,3,1,2,5,0,0,1,0,2
53371802,82,0,1,12,12,8,14,0,8,13,4,10,42,0,0,4,7,1,4,0,7,8,3,8,40,0,1,8,5,7,10,0,1,5,1,2
53371803,23,0,1,4,4,0,4,0,2,3,0,5,13,0,1,2,1,0,2,0,2,1,0,4,10,0,0,2,3,0,2,0,0,2,0,1
53371804,121,0,7,22,21,14,12,6,10,17,2,10,65,0,5,10,10,4,4,4,10,12,0,6,56,0,2,12,11,10,8,2,0,5,2,4
53371805,14,0,1,4,1,2,2,0,2,1,1,0,8,0,1,2,0,1,1,0,1,1,1,0,6,0,0,2,1,1,1,0,1,0,0,0
53371807,451,1,22,78,69,43,57,10,55,50,16,50,253,1,16,32,37,23,19,7,51,30,9,28,198,0,6,46,32,20,38,3,4,20,7,22
53371808,39,0,3,11,4,7,3,0,3,4,0,4,22,0,2,5,2,3,0,0,3,3,0,4,17,0,1,6,2,4,3,0,0,1,0,0
53371809,17,0,1,1,0,4,3,0,2,5,0,1,9,0,0,1,0,1,1,0,2,4,0,0,8,0,1,0,0,3,2,0,0,1,0,1
53372601,65,0,2,5,7,9,9,0,6,15,3,9,39,0,1,1,3,3,4,0,6,14,1,6,26,0,1,4,4,6,5,0,0,1,2,3
53372602,28,0,1,6,1,2,5,0,2,3,4,4,14,0,0,2,1,0,4,0,2,2,2,1,14,0,1,4,0,2,1,0,0,1,2,3
53372603,160,0,10,16,13,13,36,0,22,27,8,15,89,0,7,5,6,4,7,0,17,25,4,14,71,0,3,11,7,9,29,0,5,2,4,1
53373401,60,0,5,12,10,2,8,0,5,2,2,14,31,0,3,3,7,2,2,0,4,2,1,7,29,0,2,9,3,0,6,0,1,0,1,7
53373402,222,0,9,18,31,14,21,2,48,40,13,26,135,0,7,7,16,3,9,1,40,30,6,16,87,0,2,11,15,11,12,1,8,10,7,10
53374201,64,1,5,6,7,3,10,1,4,12,6,9,31,1,3,3,1,1,4,1,2,10,1,4,33,0,2,3,6,2,6,0,2,2,5,5
53374202,110,0,2,14,18,17,16,2,12,10,5,14,59,0,2,6,7,6,7,1,11,9,2,8,51,0,0,8,11,11,9,1,1,1,3,6
